SKU,BrandId,Brand,ModelId,Model,Finish,RimWidth,RimDiameter,Size,BoltPattern1,Hubbore,Offset,warranty,MaxWheelLoad,Weight,LipSize,construction,USRetail,UAERetailIncludingVat,brandLogo,image1,image2,image3,image4,image5,image6,image7,image8,image9
RR7-H-1785-0139-BK,,Relations Race Wheels,,RR7-H Flow Form,Matte Black,8.5,17,17x8.5,6x139.7,106.1,0mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,RR7-HFFMatteBlackSide_36ef274f-d387-45b3-9e04-3356ecd1ff68_2000x.webp,,,,,,,,
RR7-H-1785-25139-BK,,Relations Race Wheels,,RR7-H Flow Form,Matte Black,8.5,17,17x8.5,6x139.7,106.1,-25mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,RR7-HFFMatteBlackSide_36ef274f-d387-45b3-9e04-3356ecd1ff68_2000x.webp,,,,,,,,
RR7-H-1785-25127-BK,,Relations Race Wheels,,RR7-H Flow Form,Matte Black,8.5,17,17x8.5,5x127,71.5,-25mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,RR7-HFFMatteBlackSide_36ef274f-d387-45b3-9e04-3356ecd1ff68_2000x.webp,,,,,,,,
RR7-H-1785-0139-BR,,Relations Race Wheels,,RR7-H Flow Form,Matte Bronze,8.5,17,17x8.5,6x139.7,106.1,0mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,,,,,,,,,
RR7-H-1785-25139-BR,,Relations Race Wheels,,RR7-H Flow Form,Matte Bronze,8.5,17,17x8.5,6x139.7,106.1,-25mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,,,,,,,,,
RR7-H-1785-0150-BR,,Relations Race Wheels,,RR7-H Flow Form,Matte Bronze,8.5,17,17x8.5,5x150,110.1,0mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,,,,,,,,,
RR7-H-1785-25127-BR,,Relations Race Wheels,,RR7-H Flow Form,Matte Bronze,8.5,17,17x8.5,5x127,71.5,-25mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,,,,,,,,,
RR7-H-1785-0139-MG,,Relations Race Wheels,,RR7-H Flow Form,Matte Gunmetal,8.5,17,17x8.5,6x139.7,106.1,0mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,bvNwhwH6BaKpD0A2ypsO.webp,,,,,,,,
RR7-H-1785-25139-MG,,Relations Race Wheels,,RR7-H Flow Form,Matte Gunmetal,8.5,17,17x8.5,6x139.7,106.1,-25mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,bvNwhwH6BaKpD0A2ypsO.webp,,,,,,,,
RR7-H-1785-25127-MG,,Relations Race Wheels,,RR7-H Flow Form,Matte Gunmetal,8.5,17,17x8.5,5x127,71.5,-25mm,1 Year,1725,10.5 kg,,FlowForm Hybrid Beadlock,1200,1200,0,bvNwhwH6BaKpD0A2ypsO.webp,,,,,,,,
W0188120246,,OZ Racing,,Superturismo LM,Matt Graphite Silver,7.5,17,17x7.5,5x112,75mm,35mm,1 Year,N/A,9 Kg,,Cast,1400,1400,0,02_superturismo-lm-matt-graphite-jpg_201000x750_39e4235c-a081-4db0-b821-2740078e8ac7_1000x.webp,,,,,,,,
OS67514409,,Konig,,Oversteer,Opal,7.5,16,16x7.5,5x114.3,73.1mm,40mm,1 Year,N/A,8 Kg,,Cast,950,950,0,konig-oversteer-opal.webp,,,,,,,,
AT01-MB17-38,,All Terrain Industries,,AT-01 Beadlock,Matte Black,8.5,17,17x8.5,6x139.7,110.1mm,-38mm,Lifetime,1650Kg,17 Kg,,Beadlock,1300,1300,0,AT01-17-6139-BLK-N38-BLTR.jpeg,,,,,,,,
AT01-MB18+12,,All Terrain Industries,,AT-01 Beadlock,Matte Black,9,18,18x9,6x139.7,78.1mm,12mm,Lifetime,2000Kg,18 Kg,,Beadlock,1500,1500,0,AT01-17-6139-BLK-N38-BLTR.jpeg,,,,,,,,
AT01-MB18-18,,All Terrain Industries,,AT-01 Beadlock,Matte Black,9,18,18x9,6x139.7,78.1mm,-18mm,Lifetime,2000Kg,18 Kg,,Beadlock,1500,1500,0,AT01-17-6139-BLK-N38-BLTR.jpeg,,,,,,,,
AT01-MB17-61143,,All Terrain Industries,,AT-01 Beadlock,Matte Black,8.5,17,17x8.5,6x114.3,66.1mm,0mm,Lifetime,1650Kg,17 Kg,,Beadlock,1300,1300,0,AT01-17-6139-BLK-N38-BLTR.jpeg,,,,,,,,
AT01-SS17-38,,All Terrain Industries,,AT-01 Beadlock,Machined Silver,8.5,17,17x8.5,6x139.7,110.1mm,-38mm,Lifetime,1650Kg,17 Kg,,Beadlock,1300,1300,0,AT01-17-6139-MCD-N38-MDTR.jpeg,,,,,,,,
AT01-SS18+12,,All Terrain Industries,,AT-01 Beadlock,Machined Silver,9,18,18x9,6x139.7,78.1mm,12mm,Lifetime,2000Kg,18 Kg,,Beadlock,1500,1500,0,AT01-17-6139-MCD-N38-MDTR.jpeg,,,,,,,,
AT01-SS18-18,,All Terrain Industries,,AT-01 Beadlock,Machined Silver,9,18,18x9,6x139.7,78.1mm,-18mm,Lifetime,2000Kg,18 Kg,,Beadlock,1500,1500,0,AT01-17-6139-MCD-N38-MDTR.jpeg,,,,,,,,
